1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
14 14 14 14 14 14 14 14 14 14 14 14 14 14 15 14 14 18 19 14 21 22 23 14 25 26 14 28 29 30 14 32 14 14 35 14 37 38 39 40 
15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 18 19 15 21 22 23 15 25 26 15 28 29 30 15 32 15 15 35 15 37 38 39 40 
15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 18 19 15 21 22 23 15 25 26 15 28 29 30 15 32 15 15 35 15 37 38 39 40 
15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 18 19 15 21 22 23 15 25 26 15 28 29 30 15 32 15 15 35 15 37 38 39 40 
18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 18 21 22 23 18 25 26 18 28 29 30 18 32 18 18 35 18 37 38 39 40 
18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 38 18 21 22 23 18 25 26 18 38 29 30 18 32 18 18 35 18 37 38 39 40 
18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 38 18 21 22 23 18 25 26 18 38 29 30 18 32 18 18 35 18 37 38 39 40 
18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 38 18 18 22 23 18 25 26 18 38 18 30 18 32 18 18 35 18 37 38 39 40 
38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 23 38 25 26 38 38 38 30 38 32 38 38 35 38 37 38 39 40 
23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 25 26 23 23 23 23 23 32 23 23 35 23 23 23 39 40 
23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 25 26 23 23 23 23 23 32 23 23 23 23 23 23 39 40 
23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 26 23 23 23 23 23 32 23 23 23 23 23 23 23 40 
26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 40 
26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 40 
26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 40 
26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
